n,name,name2,initials,IUPAC,type,subtype,mean,freq.glob
25,1-Penten-3-ol,,p13o,pent-1-en-3-ol,aliphatic,alcohol,0.049,0.09
26,"1-Propene, 3,3-diethoxy-",,,,,,0.000,0.00
27,"1,2-Cyclopentanedione",,cpdo,"cyclopentane-1,2-dione",aliphatic,ketone,0.427,0.12
28,"1,2-Epoxy-3-propyl acetate",,,,,,0.000,0.00
29,"1,2,3-Propanetriol, 1-acetate",,,,,,0.000,0.00
30,"1,3-Propanediol, diacetate",,,,,,0.000,0.00
31,"1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-",,,,,,0.000,0.00
32,10-Octadecenal,,,,,,0.000,0.00
33,"1H-Indene, 1-ethylideneoctahydro-7a-methyl-, (1Z,3a.alpha.,7a.beta.)-",,,,,,0.003,0.01
34,"2-Cyclohexen-1-one, 4-hydroxy-3-methyl-6-(1-methylethyl)-, trans-",,,,,,0.000,0.00
35,2-Furanmethanol,,,,,,0.000,0.00
